case,kind,indicator,snr_db,Px_ref,sigma,mc_id,t_first_any,t_valid,delay,premature_alarm,seed,indicator_name
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,19,6.752524999987598,6.752524999987598,1.38675479120037,False,20760321,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,20,6.7625249999875745,6.7625249999875745,1.3967547912003466,False,20760322,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,21,6.742524999987621,6.742524999987621,1.3767547912003932,False,20760323,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,22,6.752524999987598,6.752524999987598,1.38675479120037,False,20760324,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,23,6.772524999987551,6.772524999987551,1.4067547912003233,False,20760325,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,24,6.742524999987621,6.742524999987621,1.3767547912003932,False,20760326,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,25,6.752524999987598,6.752524999987598,1.38675479120037,False,20760327,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,26,6.742524999987621,6.742524999987621,1.3767547912003932,False,20760328,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,27,6.742524999987621,6.742524999987621,1.3767547912003932,False,20760329,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,28,6.752524999987598,6.752524999987598,1.38675479120037,False,20760330,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,29,6.7625249999875745,6.7625249999875745,1.3967547912003466,False,20760331,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,30,6.732524999987644,6.732524999987644,1.3667547912004165,False,20760332,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,31,6.732524999987644,6.732524999987644,1.3667547912004165,False,20760333,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,32,6.752524999987598,6.752524999987598,1.38675479120037,False,20760334,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,33,6.752524999987598,6.752524999987598,1.38675479120037,False,20760335,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,34,6.722524999987668,6.722524999987668,1.3567547912004398,False,20760336,MaxEnt_SPRT
Case_Test,B_transition,MaxEnt_SPRT,5.0,1.0126973666638687e-10,5.659001907679921e-06,35,6.772524999987551,6.772524999987551,1.4067547912003233,False,20760337,MaxEnt_SPRT
